species,category
lamium amplexicaule,
rumex crispus,
vernonia baldwinii,
phytolacca americana,
tridens albescens,
oenothera triloba,
rapistrum rugosum,
oenothera curtiflora,
pediomelum rhombifolium,
silphium albiflorum,
pediomelum linearifolium,
erioneuron pilosum,
toxicodendron radicans,
helianthus annuus,
grindelia ciliata,
melilotus albus,
croton monanthogynus,
senna roemeriana,
penstemon cobaea,
ipomopsis rubra,
cissus trifoliata,
nephroia carolina,
avena fatua,
engelmannia peristenia,
linum pratense,
quercus muehlenbergii,
hymenopappus tenuifolius,
maclura pomifera,
bothriochloa torreyana,
dalea compacta,
asparagus officinalis,
palafoxia callosa,
yucca arkansana,
hedeoma reverchonii,
rubus trivialis,
carya illinoinensis,
cercis canadensis,
fraxinus pennsylvanica,
elymus virginicus,
viola missouriensis,
trifolium repens,
baccharis neglecta,
styphnolobium affine,
iva annua,
bothriochloa ischaemum,
torilis arvensis,
bromus japonicus,
cnidoscolus texanus,
panicum capillare,
tridens strictus,
erigeron canadensis,
baptisia sphaerocarpa,
lespedeza virginica,
punica granatum,
sixalix atropurpurea,
eryngium hookeri,
oxalis dillenii,
justicia americana,
quercus shumardii,
helianthus maximiliani,
daucus carota,
ruellia nudiflora,
salvia coccinea,
ligustrum lucidum,
frangula caroliniana,
melilotus officinalis,
desmanthus illinoensis,
desmanthus leptolobus,
vitis mustangensis,
eustoma russellianum,
cephalanthus occidentalis,
asclepias asperula,
oenothera capillifolia,
dalea aurea,
linum rigidum,
ilex decidua,
verbesina virginica,
dyschoriste linearis,
asclepias viridiflora,
opuntia macrorhiza,
bromus catharticus,
sherardia arvensis,
sabulina michauxii,
dalea hallii,
pediomelum reverchonii,
dalea reverchonii,
dalea tenuis,
grindelia lanceolata,
scutellaria drummondii,
verbena halei,
solanum dimidiatum,
ruellia humilis,
bifora americana,
stillingia texana,
lythrum alatum,
silphium laciniatum,
erigeron strigosus,
stenaria nigricans,
sorghum halepense,
passiflora incarnata,
plantago lanceolata,
gaillardia aestivalis,
sabatia campestris,
medicago lupulina,
veronica persica,
krameria lanceolata,
anisacanthus quadrifidus,
paspalum pubiflorum,
bothriochloa barbinodis,
panicum virgatum,
rivina humilis,
coreopsis tinctoria,
tripsacum dactyloides,
rosa setigera,
solanum carolinense,
aristida purpurea,
eragrostis secundiflora,
lithospermum bejariense,
centrosema virginianum,
bouteloua hirsuta,
triadica sebifera,
salvia lyrata,
lactuca ludoviciana,
nandina domestica,
mollugo verticillata,
cirsium texanum,
euploca tenella,
populus deltoides,
asclepias tuberosa,
carduus nutans,
leucospora multifida,
phalaris caroliniana,
dichondra carolinensis,
sabal minor,
tradescantia pallida,
nelumbo lutea,
celtis laevigata,
portulaca oleracea,
modiola caroliniana,
paspalum langei,
pyrus calleryana,
monarda punctata,
croton glandulosus,
diospyros virginiana,
mimosa strigillosa,
indigofera miniata,
zephyranthes chlorosolen,
acaciella angustissima,
callicarpa americana,
panicum coloratum,
eragrostis superba,
dalea enneandra,
symphoricarpos orbiculatus,
salvia farinacea,
ambrosia psilostachya,
centaurea solstitialis,
albizia julibrissin,
polypogon monspeliensis,
pontederia cordata,
eragrostis cilianensis,
chloris verticillata,
aristida oligantha,
paspalum setaceum,
eragrostis curvula,
allium ampeloprasum,
callirhoe leiocarpa,
juglans nigra,
monarda fistulosa,
echinacea angustifolia,
nekemias arborea,
smilax bona-nox,
heterotheca canescens,
argemone albiflora,
silene stellata,
rudbeckia maxima,
neptunia pubescens,
lysimachia arvensis,
urochloa ciliatissima,
morus alba,
diodia virginiana,
prunus mexicana,
quercus marilandica,
cornus drummondii,
acalypha persimilis,
salix nigra,
dalea frutescens,
plantago aristata,
vitex agnus-castus,
lolium arundinaceum,
perilla frutescens,
erythrostemon gilliesii,
erodium cicutarium,
helianthus hirsutus,
ziziphus jujuba,
polytaenia texana,
arnoglossum plantagineum,
sisyrinchium micranthum,
verbena rigida,
callirhoe involucrata,
sambucus canadensis,
aristolochia fimbriata,
phyla lanceolata,
forestiera pubescens,
persicaria amphibia,
ligustrum sinense,
ilex vomitoria,
phoradendron leucarpum,
acalypha virginica,
physalis cinerascens,
ipomoea cordatotriloba,
argythamnia humilis,
bothriochloa bladhii,
sida abutilifolia,
solanum emulans,
urochloa reptans,
coelorachis cylindrica,
paspalum dilatatum,
lonicera japonica,
symphyotrichum drummondii,
nymphaea odorata,
ranunculus sardous,
prunus persica,
tragopogon dubius,
gaillardia amblyodon,
abutilon fruticosum,
asclepias stenophylla,
setaria parviflora,
cucumis melo,
helenium elegans,
bothriochloa longipaniculata,
chloris virgata,
rhus aromatica,
amorpha fruticosa,
nassella leucotricha,
cenchrus spinifex,
bacopa monnieri,
veronica anagallis-aquatica,
samolus parviflorus,
paspalum urvillei,
fraxinus albicans,
fatoua villosa,
eleocharis montevidensis,
diplotaxis muralis,
froelichia gracilis,
mirabilis albida,
lantana urticoides,
lantana strigocamara,
securigera varia,
proboscidea louisianica,
parthenocissus quinquefolia,
hopia obtusa,
quercus sinuata breviloba,
liatris aestivalis,
paspalum notatum,
gonolobus suberosus,
castilleja indivisa,
ammannia coccinea,
capsicum annuum,
polypremum procumbens,
euphorbia dentata,
yucca pallida,
salvia texana,
senega alba,
coryphantha sulcata,
schizachyrium scoparium,
callirhoe pedata,
lupinus texensis,
arundo donax,
ailanthus altissima,
cichorium intybus,
desmodium tweedyi,
eriochloa sericea,
tribulus terrestris,
triticum aestivum,
silybum marianum,
verbascum thapsus,
paspalum distichum,
ulmus americana,
rumex pulcher,
vicia villosa,
helianthus divaricatus,
rhus glabra,
sphenopholis obtusata,
dermatophyllum secundiflorum,
verbesina alternifolia,
allium canadense,
alternanthera philoxeroides,
carex cherokeensis,
potentilla indica,
quercus stellata,
artemisia ludoviciana,
boerhavia coccinea,
setaria viridis,
zizia aurea,
smilax tamnoides,
silphium radula,
cyperus acuminatus,
taraxacum officinale,
ungnadia speciosa,
oenothera rhombipetala,
asclepias oenotheroides,
photinia serratifolia,
chasmanthium sessiliflorum,
bletia arizonica,
pediomelum cuspidatum,
evolvulus sericeus,
mikania scandens,
oenothera laciniata,
hibiscus lasiocarpos,
dalea multiflora,
elephantopus carolinianus,
achillea millefolium,
elymus canadensis,
portulaca grandiflora,
physalis philadelphica,
diaperia prolifera,
persicaria lapathifolia,
lechea tenuifolia,
galactia regularis,
cyperus echinatus,
strophostyles helvola,
verbena xutha,
carex crus-corvi,
boerhavia erecta,
oenothera macrocarpa,
cyperus rotundus,
disakisperma dubium,
liquidambar styraciflua,
oxalis corniculata,
commelina communis,
ampelopsis cordata,
hibiscus syriacus,
platanus occidentalis,
cucurbita foetidissima,
echinochloa colona,
tridens flavus,
juncus marginatus,
melothria pendula,
dinebra panicea,
urochloa platyphylla,
physalis longifolia,
trepocarpus aethusae,
cynodon dactylon,
ptilimnium nuttallii,
dalea purpurea,
oenothera glaucifolia,
liatris punctata,
clitoria mariana,
lygodesmia texana,
sesbania vesicaria,
coreopsis lanceolata,
lathyrus hirsutus,
hypericum perforatum,
thymelaea passerina,
sorghastrum nutans,
cardiospermum halicacabum,
nothoscordum bivalve,
xanthium strumarium,
solidago rigida,
matelea biflora,
sedum nuttallii,
phemeranthus calcaricus,
acmispon americanus,
bradburia pilosa,
petrorhagia dubia,
parietaria pensylvanica,
ruellia strepens,
mazus pumilus,
lonicera albiflora,
impatiens balsamina,
dysodiopsis tagetoides,
berchemia scandens,
verbena brasiliensis,
mentzelia oligosperma,
pyrrhopappus pauciflorus,
ipomoea quamoclit,
eupatorium serotinum,
agalinis heterophylla,
amphiachyris dracunculoides,
paronychia virginica,
iva angustifolia,
quercus buckleyi,
eriogonum longifolium,
elymus glabriflorus,
cyperus retrorsus,
schoenoplectus californicus,
linum hudsonioides,
heteranthera limosa,
linum berlandieri,
symphyotrichum ericoides,
heterotheca subaxillaris,
pluchea odorata,
eragrostis barrelieri,
cyclospermum leptophyllum,
zeltnera texensis,
gratiola quartermaniae,
anemone berlandieri,
castilleja purpurea,
bowlesia incana,
phyllostachys aurea,
euphorbia prostrata,
sonchus asper,
viburnum rufidulum,
carex aureolensis,
elaeagnus pungens,
rosa foliolosa,
juncus diffusissimus,
carex tetrastachya,
arisaema dracontium,
sanicula odorata,
zeltnera beyrichii,
mentha spicata,
sagittaria platyphylla,
colocasia esculenta,
polanisia erosa,
escobaria missouriensis similis,
tephrosia virginiana,
anatherum tenuispatheum,
oxalis articulata,
cyperus pseudovegetus,
bignonia capreolata,
narcissus tazetta,
chenopodium album,
bromus pubescens,
sanicula canadensis,
tetragonotheca ludoviciana,
eleusine indica,
conoclinium dissectum,
penstemon tenuis,
polanisia dodecandra,
delphinium ajacis,
centaurea cyanus,
vernonia lindheimeri,
tagetes lunulata,
trifolium vessiculosum,
juncus brachycarpus,
fimbristylis puberula,
aira caryophyllea,
festuca myuros,
dichanthelium helleri,
silene antirrhina,
tridens congestus,
juncus torreyi,
cynanchum unifarium,
triodanis biflora,
bouteloua pectinata,
eclipta prostrata,
bupleurum rotundifolium,
persicaria hydropiperoides,
cicuta maculata,
hordeum pusillum,
firmiana simplex,
ludwigia peploides,
rhus copallinum,
galium aparine,
chaetopappa asteroides,
baptisia nuttalliana,
allium drummondii,
salvia engelmannii,
vinca major,
prunus serotina,
astragalus lotiflorus,
setaria reverchonii,
solanum americanum,
leersia oryzoides,
centaurium tenuiflorum,
tragia urticifolia,
pavonia lasiopetala,
echinacea atrorubens,
toxicodendron radicans verrucosum,
sporobolus compositus,
allium fraseri,
solanum triquetrum,
malvastrum coromandelianum,
torilis nodosa,
packera tampicana,
medicago orbicularis,
lactuca floridana,
thalictrum dasycarpum,
phlox drummondii,
monarda clinopodioides,
soliva sessilis,
apocynum cannabinum,
lonicera fragrantissima,
muhlenbergia sericea,
